865c782,JesusDBurgos,Update pedidos.py,Tue Aug 1 19:34:05 2023 -0500
23bb539,JesusDBurgos,Update pedidos.py,Tue Aug 1 19:27:49 2023 -0500
87fc85d,JesusDBurgos,Update jwt.py,Mon Jul 31 09:28:32 2023 -0500
f95d1b9,JesusDBurgos,Update clientes.py,Sun Jul 30 21:51:09 2023 -0500
b513baf,JesusDBurgos,Arreglo endpoint update_data,Sun Jul 30 21:41:03 2023 -0500
e0a16eb,JesusDBurgos,Cambios endpoint create_order,Sun Jul 30 13:44:14 2023 -0500
03ee639,JesusDBurgos,cambio en endpoint update_product,Sat Jul 29 22:51:43 2023 -0500
420d2b0,JesusDBurgos,Update producto.py,Sat Jul 29 22:36:46 2023 -0500
9bf140d,JesusDBurgos,Update producto.py,Sat Jul 29 22:31:02 2023 -0500
9ec0888,JesusDBurgos,Update producto.py,Sat Jul 29 22:28:24 2023 -0500
de12609,JesusDBurgos,Update producto.py,Sat Jul 29 22:16:04 2023 -0500
be25509,JesusDBurgos,Update producto.py,Sat Jul 29 22:03:08 2023 -0500
fa5831a,JesusDBurgos,Update producto.py,Sat Jul 29 21:57:55 2023 -0500
833efc8,JesusDBurgos,Update producto.py,Sat Jul 29 21:54:06 2023 -0500
3290e85,JesusDBurgos,Update producto.py,Sat Jul 29 21:39:45 2023 -0500
c0b7ffe,JesusDBurgos,Update producto.py,Sat Jul 29 16:59:20 2023 -0500
a817cd2,JesusDBurgos,Update producto.py,Sat Jul 29 16:55:52 2023 -0500
9da776b,JesusDBurgos,Update producto.py,Sat Jul 29 16:52:01 2023 -0500
8858a42,JesusDBurgos,Update producto.py,Sat Jul 29 16:45:24 2023 -0500
3383e97,JesusDBurgos,Cambio en auth y productos,Sat Jul 29 16:40:18 2023 -0500
e34a17c,JesusDBurgos,Update producto.py,Sat Jul 29 16:34:13 2023 -0500
0581b92,JesusDBurgos,Eliminar campo fecha de vencimiento,Sat Jul 29 16:24:32 2023 -0500
588563c,JesusDBurgos,Cambio en ruta clientes,Sat Jul 29 00:57:18 2023 -0500
aaacdab,JesusDBurgos,Update clientes.py,Fri Jul 28 19:31:40 2023 -0500
4fa3475,JesusDBurgos,Update clientes.py,Fri Jul 28 19:24:29 2023 -0500
cacabde,JesusDBurgos,Update clientes.py,Fri Jul 28 19:12:25 2023 -0500
99a35ae,JesusDBurgos,Update clientes.py,Fri Jul 28 19:05:20 2023 -0500
88e3b96,JesusDBurgos,cambios endpoints,Fri Jul 28 17:22:28 2023 -0500
54993d9,JesusDBurgos,Update clientes.py,Fri Jul 28 13:47:47 2023 -0500
